OMP;1;auto
Aertssen Imasco;1;auto
Control & Protection Automation;1;auto
ZA Verzekeringen;2;auto
Delta Lloyd Life;1;auto
Digipolis - Police of Antwerp;5;auto
Rentio;1;auto
Jigso;1;auto
Cashforce;1;auto
Katoennatie;1;auto
Nike logistics;1;auto
Immoscoop;1;auto
Qover;1;auto
